events_per_team,n_teams,ccdf_count,ccdf_frac
1,226381,305380,1.0
2,32686,78999,0.25869081144803197
3,13215,46313,0.15165695199423668
4,7207,33098,0.10838299823171131
5,4816,25891,0.08478289344423341
6,3200,21075,0.0690123780208265
7,2409,17875,0.05853363023118737
8,1890,15466,0.05064509791079966
9,1458,13576,0.044456087497544046
10,1215,12118,0.03968170803588971
11,1044,10903,0.0357030584845111
12,863,9859,0.03228436701814133
13,740,8996,0.029458379723623026
14,649,8256,0.027035169297268978
15,521,7607,0.02490994826118279
16,502,7086,0.023203877136682167
17,418,6584,0.021560023577182525
18,387,6166,0.020191237147160913
19,348,5779,0.01892396358635143
20,282,5431,0.017784399764228173
21,281,5149,0.016860960115266225
22,254,4868,0.01594079507498854
23,220,4614,0.015109044469185932
24,205,4394,0.014388630558648242
25,201,4189,0.013717335778374484
26,169,3988,0.013059139432837775
27,175,3819,0.01250573056519746
28,183,3644,0.011932674045451569
29,147,3461,0.01133342065623158
30,124,3314,0.010852053179645032
31,138,3190,0.010446001702796515
32,110,3052,0.009994105704368327
33,104,2942,0.009633898749099482
34,106,2838,0.009293339445936211
35,91,2732,0.008946230925404414
36,103,2641,0.00864824153513655
37,85,2538,0.008310956840657541
38,78,2453,0.008032615102495252
39,95,2375,0.007777195625122798
40,70,2280,0.007466107800117886
41,74,2210,0.0072368851922195295
42,80,2136,0.006994564149584125
43,69,2056,0.006732595454843146
44,68,1987,0.006506647455629053
45,64,1919,0.006283974065099221
46,51,1855,0.0060743991093064375
47,47,1804,0.005907394066409064
48,47,1757,0.005753487458248739
49,42,1710,0.005599580850088414
50,53,1668,0.005462047285349401
51,46,1615,0.005288493025083502
52,40,1569,0.00513786102560744
53,40,1529,0.0050068766782369505
54,45,1489,0.0048758923308664616
55,43,1444,0.004728534940074661
56,35,1401,0.004587726766651385
57,46,1366,0.004473115462702207
58,29,1320,0.004322483463226144
59,28,1291,0.00422751981138254
60,38,1263,0.004135830768223197
61,28,1225,0.004011395638221233
62,30,1197,0.00391970659506189
63,32,1167,0.003821468334534023
64,17,1135,0.003716680856637632
65,21,1118,0.003661012509005174
66,25,1097,0.003592245726635667
67,28,1072,0.003510380509529111
68,20,1044,0.003418691466369769
69,21,1024,0.003353199292684524
70,30,1003,0.0032844325103150176
71,18,973,0.0031861942497871504
72,23,955,0.0031272512934704304
73,19,932,0.003051935293732399
74,18,913,0.0029897177287314166
75,14,895,0.0029307747724146966
76,12,881,0.002884930250835025
77,16,869,0.0028456349466238783
78,15,853,0.0027932412076756828
79,17,838,0.002744122077411749
80,18,821,0.002688453729779291
81,18,803,0.002629510773462571
82,15,785,0.002570567817145851
83,13,770,0.0025214486868819176
84,15,757,0.0024788787739865085
85,17,742,0.0024297596437225753
86,19,725,0.0023740912960901173
87,11,706,0.002311873731089135
88,13,695,0.00227585303556225
89,9,682,0.0022332831226668415
90,9,673,0.0022038116445084813
91,10,664,0.002174340166350121
92,4,654,0.002141594079507499
93,12,650,0.00212849564477045
94,9,638,0.0020892003405593032
95,11,629,0.002059728862400943
96,9,618,0.0020237081668740583
97,14,609,0.0019942366887156985
98,7,595,0.0019483921671360272
99,8,588,0.0019254699063461916
100,8,580,0.0018992730368720939
101,9,572,0.0018730761673979959
102,15,563,0.0018436046892396358
103,7,548,0.0017944855589757025
104,6,541,0.0017715632981858667
105,9,535,0.0017519156460802934
106,9,526,0.0017224441679219334
107,6,517,0.0016929726897635734
108,15,511,0.0016733250376579998
109,9,496,0.0016242059073940664
110,5,487,0.0015947344292357064
111,7,482,0.001578361385814395
112,10,475,0.0015554391250245595
113,10,465,0.0015226930381819373
114,10,455,0.0014899469513393149
115,6,445,0.0014572008644966926
116,7,439,0.0014375532123911193
117,10,432,0.0014146309516012837
118,6,422,0.0013818848647586613
119,6,416,0.001362237212653088
120,6,410,0.0013425895605475146
121,8,404,0.0013229419084419413
122,4,396,0.0012967450389678432
123,6,392,0.0012836466042307944
124,5,386,0.001263998952125221
125,5,381,0.00124762590870391
126,11,376,0.0012312528652825988
127,7,365,0.001195232169755714
128,8,358,0.0011723099089658785
129,10,350,0.0011461130394917808
130,4,340,0.0011133669526491585
131,10,336,0.0011002685179121094
132,3,326,0.0010675224310694872
133,4,323,0.0010576986050167005
134,5,319,0.0010446001702796516
135,3,314,0.0010282271268583405
136,3,311,0.0010184033008055538
137,4,308,0.001008579474752767
138,5,304,0.000995481040015718
139,2,299,0.000979107996594407
140,3,297,0.0009725587792258825
141,1,294,0.0009627349531730958
142,5,293,0.0009594603444888336
143,2,288,0.0009430873010675225
144,7,286,0.0009365380836989979
145,2,279,0.0009136158229091624
146,4,277,0.0009070666055406379
147,6,273,0.000893968170803589
148,2,267,0.0008743205186980156
149,5,265,0.0008677713013294911
150,3,260,0.00085139825790818
151,3,257,0.0008415744318553932
152,6,254,0.0008317506058026066
153,1,248,0.0008121029536970332
154,5,247,0.000808828345012771
155,2,242,0.0007924553015914598
156,3,240,0.0007859060842229353
157,3,237,0.0007760822581701487
158,3,234,0.000766258432117362
159,2,231,0.0007564346060645753
160,6,229,0.0007498853886960509
161,3,223,0.0007302377365904774
162,6,220,0.0007204139105376908
163,3,214,0.0007007662584321174
164,6,211,0.0006909424323793306
165,3,205,0.0006712947802737573
166,2,202,0.0006614709542209706
167,5,200,0.0006549217368524462
168,1,195,0.000638548693431135
169,2,194,0.0006352740847468727
171,4,192,0.0006287248673783483
172,3,188,0.0006156264326412994
173,4,185,0.0006058026065885127
174,1,181,0.0005927041718514637
175,2,180,0.0005894295631672015
176,1,178,0.000582880345798677
177,1,177,0.0005796057371144148
178,2,176,0.0005763311284301526
179,3,174,0.0005697819110616282
180,1,171,0.0005599580850088415
181,2,170,0.0005566834763245793
182,5,168,0.0005501342589560547
183,4,163,0.0005337612155347436
184,1,159,0.0005206627807976947
185,2,158,0.0005173881721134325
187,1,156,0.000510838954744908
188,2,155,0.0005075643460606458
189,4,153,0.0005010151286921212
191,2,149,0.00048791669395507236
192,2,147,0.0004813674765865479
193,4,145,0.00047481825921802346
194,1,141,0.0004617198244809745
195,1,140,0.0004584452157967123
197,1,139,0.00045517060711245007
198,3,138,0.00045189599842818785
200,2,135,0.0004420721723754011
201,2,133,0.0004355229550068767
202,1,131,0.00042897373763835223
203,2,130,0.00042569912895409
206,1,128,0.0004191499115855655
207,2,127,0.0004158753029013033
208,1,125,0.00040932608553277883
209,1,124,0.0004060514768485166
211,1,123,0.0004027768681642544
212,2,122,0.00039950225947999216
213,3,120,0.00039295304211146766
214,2,117,0.000383129216058681
215,1,115,0.00037657999869015655
216,1,114,0.00037330539000589427
219,1,113,0.00037003078132163205
220,3,112,0.0003667561726373698
221,1,109,0.00035693234658458315
222,1,108,0.00035365773790032093
224,1,107,0.0003503831292160587
225,1,106,0.00034710852053179643
229,1,105,0.0003438339118475342
230,1,104,0.000340559303163272
231,1,103,0.00033728469447900976
232,1,102,0.00033401008579474754
235,1,101,0.0003307354771104853
238,1,100,0.0003274608684262231
239,1,99,0.0003241862597419608
240,1,98,0.0003209116510576986
241,3,97,0.00031763704237343637
242,1,94,0.0003078132163206497
244,1,93,0.00030453860763638747
245,2,92,0.0003012639989521252
247,1,90,0.00029471478158360075
253,2,89,0.0002914401728993385
254,2,87,0.0002848909555308141
255,3,85,0.00027834173816228963
259,1,82,0.0002685179121095029
261,1,81,0.0002652433034252407
262,1,80,0.00026196869474097846
263,1,79,0.00025869408605671624
264,1,78,0.000255419477372454
265,1,77,0.00025214486868819174
266,1,76,0.0002488702600039295
270,1,75,0.0002455956513196673
273,1,74,0.00024232104263540507
274,1,73,0.00023904643395114284
275,1,72,0.00023577182526688062
277,1,71,0.00023249721658261837
278,3,70,0.00022922260789835615
282,1,67,0.00021939878184556945
283,2,66,0.00021612417316130723
284,1,64,0.00020957495579278275
286,1,63,0.00020630034710852053
287,1,62,0.0002030257384242583
288,1,61,0.00019975112973999608
291,1,60,0.00019647652105573383
294,1,59,0.0001932019123714716
295,2,58,0.00018992730368720939
299,1,56,0.0001833780863186849
304,2,55,0.0001801034776344227
307,1,53,0.00017355426026589821
308,2,52,0.000170279651581636
310,1,50,0.00016373043421311154
313,1,49,0.0001604558255288493
315,2,48,0.00015718121684458707
317,1,46,0.0001506319994760626
319,1,45,0.00014735739079180037
320,2,44,0.00014408278210753815
321,1,42,0.00013753356473901368
322,1,41,0.00013425895605475145
323,1,40,0.00013098434737048923
328,1,39,0.000127709738686227
331,1,38,0.00012443513000196476
333,1,37,0.00012116052131770253
338,1,36,0.00011788591263344031
339,1,35,0.00011461130394917807
342,1,34,0.00011133669526491584
351,1,33,0.00010806208658065361
354,1,32,0.00010478747789639138
355,1,31,0.00010151286921212915
357,1,30,9.823826052786692e-05
369,1,29,9.496365184360469e-05
371,1,28,9.168904315934246e-05
375,1,27,8.841443447508023e-05
377,1,26,8.5139825790818e-05
378,1,25,8.186521710655577e-05
379,1,24,7.859060842229354e-05
380,1,23,7.53159997380313e-05
389,1,22,7.204139105376908e-05
390,1,21,6.876678236950684e-05
393,1,20,6.549217368524462e-05
398,1,19,6.221756500098238e-05
400,1,18,5.8942956316720155e-05
402,1,17,5.566834763245792e-05
406,1,16,5.239373894819569e-05
417,1,15,4.911913026393346e-05
434,1,14,4.584452157967123e-05
436,1,13,4.2569912895409e-05
444,1,12,3.929530421114677e-05
456,1,11,3.602069552688454e-05
466,1,10,3.274608684262231e-05
494,1,9,2.9471478158360078e-05
520,1,8,2.6196869474097844e-05
552,1,7,2.2922260789835614e-05
603,1,6,1.9647652105573384e-05
611,1,5,1.6373043421311154e-05
632,1,4,1.3098434737048922e-05
806,1,3,9.823826052786692e-06
834,1,2,6.549217368524461e-06
1033,1,1,3.2746086842622305e-06
